actual,predicted
194.0594,194.0594
194.0595,194.0595
194.06,194.06
194.03,194.03
194.03,194.03
194.07,194.07
194.08,194.08
194.09,194.09
194.1,194.1
194.1,194.1
194.07,194.07
194.03,194.03
194.06,194.06
194.0596,194.0596
194.04,194.04
194.11,194.11
194.11,194.11
194.0541,194.0541
194.11,194.11
194.04,194.04
194.1298,194.1298
194.1199,194.1199
194.11,194.11
194.12,194.12
194.12,194.12
194.12,194.12
194.12,194.12
194.1191,194.1191
194.0845,194.0845
194.12,194.12
194.12,194.12
194.29,194.29
194.12,194.12
194.0876,194.0876
194.12,194.12
194.0871,194.0871
194.1026,194.1026
194.12,194.12
194.1,194.1
194.1,194.1
194.11,194.11
194.04,194.04
194.09,194.09
194.09,194.09
194.0893,194.0893
194.09,194.09
194.04,194.04
194.04,194.04
194.03,194.03
194.03,194.03
194.06,194.06
194.1,194.1
194.05,194.05
194.0401,194.0401
194.1,194.1
194.0701,194.0701
194.1,194.1
194.1,194.1
194.11,194.11
194.07,194.07
194.05,194.05
194.04,194.04
194.03,194.03
194.03,194.03
194.0302,194.0302
194.04,194.04
194.03,194.03
194.03,194.03
194.07,194.07
194.07,194.07
194.0999,194.0999
194.07,194.07
194.0316,194.0316
194.04,194.04
194.04,194.04
194.05,194.05
194.05,194.05
194.05,194.05
194.06,194.06
194.05,194.05
194.05,194.05
194.05,194.05
194.07,194.07
194.07,194.07
194.08,194.08
193.91,193.91
193.86,193.86
193.51,193.51
193.61,193.61
193.53,193.53
193.6,193.6
193.5,193.5
193.48,193.48
193.48,193.48
193.6,193.6
193.61,193.61
193.79,193.79
193.65,193.65
193.63,193.63
193.65,193.65
193.5,193.5
193.51,193.51
193.43,193.43
193.6,193.6
193.49,193.49
193.48,193.48
193.5,193.5
193.4,193.4
193.31,193.31
193.25,193.25
193.2,193.2
193.15,193.15
193.23,193.23
193.1,193.1
193.02,193.02
193.1,193.1
193.18,193.18
193.2,193.2
193.2,193.2
193.25,193.25
193.36,193.36
193.4,193.4
193.4,193.4
193.4,193.4
193.36,193.36
193.26,193.26
193.27,193.27
193.26,193.26
193.23,193.23
193.2,193.2
193.2,193.2
193.21,193.21
193.25,193.25
193.03,193.03
193.1,193.1
193.16,193.16
193.25,193.25
193.43,193.43
193.32,193.32
193.34,193.34
193.3,193.3
193.31,193.31
193.3,193.3
193.46,193.46
193.45,193.45
193.41,193.41
193.43,193.43
193.4,193.4
193.4,193.4
193.42,193.42
193.45,193.45
193.48,193.48
193.59,193.59
193.6,193.6
193.6,193.6
193.6,193.6
193.6,193.6
193.7,193.7
193.85,193.85
193.86,193.86
193.83,193.83
193.86,193.86
193.88,193.88
193.86,193.86
193.87,193.87
193.85,193.85
193.7,193.7
193.66,193.66
193.66,193.66
193.62,193.62
193.68,193.68
193.7,193.7
193.8,193.8
194.25,194.25
193.7501,193.7501
193.53,193.53
194.0,194.0
193.6,193.6
193.55,193.55
193.55,193.55
193.73,193.73
193.5705,193.5705
193.64,193.64
